College Name,Undergraduate Pop.,Admit Rate
-9999,-9999,-9999
University of Wisconsin-Eau Claire,10183,76%
University of Wisconsin-Green Bay,6811,76%
University of Wisconsin-La Crosse,9705,73%
University of Wisconsin-Madison,31358,54%
University of Wisconsin-Milwaukee,20360,72%
University of Wisconsin-Milwaukee Flex,501,0%
University of Wisconsin-Oshkosh,12410,63%
University of Wisconsin-Parkside,4137,61%
University of Wisconsin-Parkside Flex,5,100%
University of Wisconsin-Platteville,7611,80%
University of Wisconsin-River Falls,5678,75%
University of Wisconsin-Stevens Point,7894,84%
University of Wisconsin-Stout,8131,87%
University of Wisconsin-Superior,2373,76%
-9999,-9999,-9999
University of Wisconsin-Whitewater,11133,70%
University of Wyoming,9791,97%
-9999,-9999,-9999
-9999,-9999,-9999
-9999,-9999,-9999
Unlimited Cosmetology School,16,open admission
Upper Cape Cod Regional Technical School,87,69%
Upper Iowa University,4271,56%
Upper Valley Career Center,153,open admission
Upper Valley Educators Institute,0,not reported
Upstate Medical University,250,not reported
Urban College of Boston,812,open admission
Urbana University,1508,71%
Urshan Graduate School of Theology,0,not reported
Ursinus College,1507,78%
Ursuline College,621,93%
Uta Mesivta of Kiryas Joel,1864,open admission
Utah College of Massage Therapy-Aurora,173,open admission
Utah College of Massage Therapy-Dallas,291,open admission
Utah College of Massage Therapy-Houston,277,open admission
Utah College of Massage Therapy-Phoenix,383,open admission
Utah College of Massage Therapy-Salt Lake City,175,open admission
Utah College of Massage Therapy-Tempe,273,open admission
Utah College of Massage Therapy-Utah Valley,149,open admission
Utah College of Massage Therapy-Vegas,319,open admission
Utah College of Massage Therapy-Westminster,119,open admission
Utah State University,24618,89%
Utah Valley University,36868,open admission
Utica College,3685,84%
Valdosta State University,8778,74%
Valencia College,44834,open admission
Valley City State University,1372,76%
Valley College of Medical Careers,85,open admission
Valley College-Beckley,130,open admission
Valley College-Martinsburg,437,open admission
Valley College-Princeton,104,open admission
Valley Forge Military College,265,open admission
Valley Grande Institute for Academic Studies,276,open admission
Valor Christian College,267,open admission
Valparaiso University,3224,84%
Vance-Granville Community College,3329,open admission
Vanderbilt University,6885,11%
VanderCook College of Music,122,100%
Vanguard College of Cosmetology-Baton Rouge,156,open admission
Vanguard College of Cosmetology-Metairie,204,open admission
Vanguard College of Cosmetology-Slidell,103,open admission
Vanguard University of Southern California,1840,47%
Vanguard-Sentinel Adult Career and Technology Center,38,open admission
Vanity School of Cosmetology,39,open admission
Vassar College,2353,24%
Vatterott College-Appling Farms,255,open admission
Vatterott College-Berkeley,545,open admission
Vatterott College-Cleveland,117,open admission
Vatterott College-Des Moines,34,open admission
Vatterott College-Dividend,689,open admission
Vatterott College-ex'treme Institute by Nelly-St Louis,245,open admission
Vatterott College-Fairview Heights,238,open admission
Vatterott College-Joplin,140,open admission
Vatterott College-Kansas City,260,open admission
Vatterott College-Oklahoma City,108,open admission
Vatterott College-Quincy,94,open admission
Vatterott College-Springfield,162,open admission
Vatterott College-St Charles,220,open admission
-9999,-9999,-9999
Vatterott College-Sunset Hills,316,open admission
Vatterott College-Tulsa,88,open admission
Vatterott College-Wichita,46,open admission
Vaughn College of Aeronautics and Technology,1496,open admission
Veeb Nassau County School of Practical Nursing,195,80%
Velvatex College of Beauty Culture,14,open admission
Venango County Area Vocational Technical School,61,63%
Ventura Adult and Continuing Education,96,open admission
Ventura College,13174,open admission
-9999,-9999,-9999
Venus Beauty Academy,112,open admission
Vermilion Community College,724,open admission
Vermont College of Fine Arts,0,not reported
Vermont Law School,0,not reported
-9999,-9999,-9999
Vermont Technical College,1610,63%
Vernon College,3005,open admission
Vet Tech Institute,343,open admission
Vet Tech Institute of Houston,191,58%
VH Barber & Styling Academy,5,open admission
Vibe Barber College,64,open admission
VICI Beauty School,137,open admission
Victor Valley College,11971,open admission
Victoria Beauty College Inc,113,open admission
Victoria College,3962,open admission
Victoria's Academy of Cosmetology,114,open admission
Villa Maria College,596,81%
Villanova University,6950,36%
-9999,-9999,-9999
Vincennes Beauty College,29,open admission
Vincennes University,18914,open admission
Virgil's Beauty College,18,open admission
Virginia Baptist College,227,100%
Virginia Beach City Public Schools School of Practical Nursing,54,open admission
Virginia Beach Theological Seminary,1,not reported
Virginia College-Augusta,840,open admission
Virginia College-Austin,511,open admission
Virginia College-Baton Rouge,627,open admission
Virginia College-Biloxi,313,open admission
Virginia College-Birmingham,2087,open admission
Virginia College-Charleston,388,open admission
Virginia College-Chattanooga,327,open admission
Virginia College-Columbia,404,open admission
Virginia College-Columbus,527,open admission
Virginia College-Florence,345,open admission
Virginia College-Fort Pierce,273,open admission
Virginia College-Greensboro,401,open admission
Virginia College-Greenville,355,open admission
Virginia College-Huntsville,491,open admission
Virginia College-Jackson,387,open admission
Virginia College-Jacksonville,697,open admission
Virginia College-Knoxville,453,open admission
Virginia College-Lubbock,402,open admission
Virginia College-Macon,298,open admission
Virginia College-Mobile,674,open admission
Virginia College-Montgomery,429,open admission
Virginia College-Pensacola,285,open admission
Virginia College-Richmond,440,open admission
Virginia College-Savannah,535,open admission
Virginia College-Shreveport,566,open admission
Virginia College-Spartanburg,274,open admission
Virginia College-Tulsa,41,open admission
Virginia Commonwealth University,23663,84%
Virginia Highlands Community College,2328,open admission
Virginia International University,68,24%
Virginia Marti College of Art and Design,133,88%
Virginia Military Institute,1722,53%
Virginia Polytechnic Institute and State University,27193,70%
Virginia School of Hair Design,21,open admission
Virginia School of Massage,60,open admission
Virginia Sewing Machines and School Center,174,open admission
Virginia State University,4302,91%
Virginia Tech Carilion School of Medicine,0,not reported
Virginia Union University,1295,44%
Virginia University of Lynchburg,268,open admission
Virginia University of Oriental Medicine,0,not reported
Virginia Wesleyan University,1436,70%
Virginia Western Community College,7271,open admission
Visible Music College,124,100%
Vista College,4701,open admission
Vista College-Online,565,open admission
Viterbo University,1773,61%
Vogue Beauty and Barber School,22,open admission
Vogue College of Cosmetology,113,open admission
Vogue College of Cosmetology-McAllen,234,open admission
Vogue College of Cosmetology-San Antonio Fredericksburg,94,open admission
Vogue College of Cosmetology-Santa Fe,61,open admission
Volunteer State Community College,8838,open admission
Voorhees College,475,53%
W Academy of Salon and Spa,88,open admission
W F Kaynor Technical High School,-9999,not reported
W L Bonner College,13,open admission
Wabash College,864,63%
Wabash Valley College,3662,open admission
Wade College,151,open admission
Wade Gordon Hairdressing Academy,93,open admission
Wade Gordon Hairdressing Academy-Lubbock,52,open admission
Wagner College,1794,70%
Wake Forest University,5102,28%
Wake Technical Community College,22494,open admission
Walden University,7442,open admission
Waldorf University,2126,72%
Walla Walla Community College,4253,open admission
Walla Walla University,1649,open admission
Walsh College of Accountancy and Business Administration,893,not reported
Walsh University,2009,79%
Walters State Community College,6075,open admission
Warner Pacific College,400,95%
Warner Pacific College Adult Degree Program,415,open admission
Warner University,1002,41%
Warren County Career Center,198,open admission
Warren County Community College,3348,open admission
Warren Wilson College,589,79%
Warrensburg Area Career Center,23,81%
Wartburg College,1527,77%
Wartburg Theological Seminary,0,not reported
Washburn Institute of Technology,1393,50%
Washburn University,5873,open admission
Washington & Jefferson College,1405,48%
Washington Adventist University,873,61%
Washington and Lee University,1827,22%
Washington Barber College Inc,63,open admission
Washington College,1484,48%
Washington County Career Center-Adult Technical Training,289,open admission
Washington County Community College,372,open admission
Washington Hospital School of Nursing,49,not reported
Washington Hospital School of Radiologic Technology,13,not reported
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,35,100%
